SEQ1,SEQ2,euclidean,harmonicmean,chisquare,hellinger
rapa,rubella,3222450.8460406344,1.517597590737284E8,9461207.85254315,0.023428916762517394
camaldule,vinifera,9280387.409039345,5.373545770172137E8,5.046540796557267E7,0.10038146560310182
lyrata,rapa,871011.2078509667,1.8316695194617698E8,605458.1076460318,0.02873062545730336
rubella,sinensis,1.096174273816983E7,1.7998393795911765E8,7.08527030817648E7,0.06671779106777057
sinensis,thalian,1.1691085009406826E7,1.6907027705173248E8,8.189099489653514E7,0.07290813691864015
parvulum,sinensis,1.1778377056543868E7,1.6446980802902663E8,8.65253449419467E7,0.07003401939603465
cacao,rapa,8893591.50089265,2.3002102975769362E8,4.294834248461278E7,0.08184599188917714
clementin,vinifera,1.1212527600400455E7,3.6026818545897377E8,4.486043708205247E7,0.0586141427901652
grandis,thalian,2.7505565558875863E7,1.9935766599410412E8,3.6087960801179165E8,0.08095391528796558
cacao,parvulum,1.2730761619092159E7,1.6660970845830214E8,1.0093299308339569E8,0.0827863984693224
raimondii,thalian,3.816132731045055E7,2.030392054147256E8,4.405238781705488E8,0.08482099546778964
cacao,papaya,3844418.6663940493,2.9167197418069196E8,8147778.638616029,0.06054540819133223
grandis,rubella,2.683761815956662E7,2.141359722177843E8,3.421120255644314E8,0.08431270586885664
rubella,vinifera,2.1204746415895194E7,2.013085984654104E8,1.9739965906917918E8,0.08421163250047738
papaya,rubella,8693152.701342994,1.7438855137280437E8,5.270494825439121E7,0.0641424171868401
lyrata,rubella,3041601.352603263,1.519339204270378E8,9589147.145924414,0.02266887707322453
clementin,grandis,1.7396036506421745E7,3.9919851651343435E8,1.3736688897313127E8,0.08449434748644105
cacao,grandis,1.5894609785161762E7,4.19406338994725E8,1.2158096801055029E8,0.101449807933703
cacao,halophilu,7045778.643980663,2.6829838656994346E8,2.1606618860112913E7,0.09553916818951269
papaya,raimondii,2.8914629767761406E7,3.9340159676825374E8,2.125718244634927E8,0.059155914831841995
clementin,rubella,1.0335691610479388E7,1.7879518070140734E8,6.72879425971854E7,0.06983262326531771
camaldule,rapa,2.4721316535662133E7,2.834231382530755E8,2.7129215549384886E8,0.08686913343010494
camaldule,sinensis,1.7737693447553854E7,4.063055270670107E8,1.4336723086597866E8,0.09482699612267874
grandis,raimondii,1.5078230635373004E7,6.650445262756011E8,3.8187884448797464E7,0.11057404753246301
grandis,lyrata,2.3877732155704528E7,2.833937663559105E8,2.5755507328817904E8,0.074987673007483
cacao,raimondii,2.568287489303612E7,4.4282888421785283E8,1.6174322656429416E8,0.04402708169930608
clementin,papaya,2385448.5678989184,2.818087046647038E8,3244593.6705923416,0.04498987020663813
clementin,raimondii,2.7251245255641494E7,4.179416644416608E8,1.868879421166783E8,0.05273586254554918
halophilu,parvulum,6524572.642628481,1.5417358910927916E8,4.449091978144173E7,0.0404112876035668
cacao,thalian,1.2619009745719273E7,1.7150939561021364E8,9.570020677957281E7,0.08170349807280664
sinensis,vinifera,1.061816082727668E7,3.651989523659261E8,4.094117826814781E7,0.05226313319697872
rapa,thalian,3994048.594127768,1.4396709229986036E8,1.4257511400279338E7,0.032873041839832084
camaldule,halophilu,2.2132454481875345E7,3.476916641725235E8,1.9796809365495273E8,0.05999323092241531
lyrata,vinifera,1.827403137597848E7,2.6062189886232853E8,1.3273169427534294E8,0.08869051697505792
camaldule,clementin,1.8200830704270232E7,4.0209868585820836E8,1.458386382835833E8,0.08363687726796883
parvulum,raimondii,3.825713939425669E7,1.9638642874516737E8,4.4926284350966525E8,0.08230599671642198
camaldule,lyrata,2.4725013114393286E7,2.8481265755121005E8,2.689893788975798E8,0.07470412157882479
grandis,papaya,1.8914850403009403E7,3.771641971750419E8,1.580392746499163E8,0.08334094299105461
lyrata,thalian,3765575.842750216,1.4427464747291544E8,1.411866305416915E7,0.022180383776069453
lyrata,sinensis,8120450.364775158,2.2594964610671926E8,3.2879922786561552E7,0.07182894257471523
grandis,vinifera,8721400.670330884,5.3220458607614034E8,4.649330184771951E7,0.10111134359835625
halophilu,raimondii,3.233045020306796E7,3.5352098914532137E8,2.5904470470935714E8,0.10223827269833013
parvulum,rubella,924666.6142507796,1.215010652098529E8,1140603.5802941846,0.01900722369718696
cacao,vinifera,9602624.697676152,3.796678969128065E8,3.0690738174386762E7,0.03712733095713035
clementin,rapa,7301896.138290108,2.2414479485740036E8,3.007108828519941E7,0.06791539475308411
raimondii,rubella,3.7424466446634196E7,2.1881899174041837E8,4.197533355191633E8,0.07788253503133112
grandis,parvulum,2.766217423609041E7,1.9290109441768748E8,3.692261631646249E8,0.08031016686699063
cacao,rubella,1.1903062536087172E7,1.82737759331708E8,8.403250933658402E7,0.07698720858308196
clementin,sinensis,924645.7698854194,2.9764078855857027E8,918953.8828594775,0.027041979450335433
thalian,vinifera,2.1939023844906684E7,1.8780221883783746E8,2.136233883243252E8,0.08947643930124521
grandis,halophilu,2.1278258910479963E7,3.456425619111997E8,1.877942101776007E8,0.05968357287185118
papaya,rapa,5631094.9189781025,2.173748888962746E8,2.0214647207450803E7,0.05988368564153366
parvulum,rapa,4078144.051892478,1.4068908099879548E8,1.624694600240905E7,0.02473989600361656
clementin,parvulum,1.1148680958060645E7,1.635309354864301E8,8.246081502713975E7,0.07182781731316915
camaldule,grandis,941778.0520207508,6.476694123737011E8,202851.25259833067,0.004196877196982231
cacao,lyrata,9041598.053909939,2.302881693285729E8,4.289032534285414E7,0.0830138064046144
parvulum,vinifera,2.2044446703601748E7,1.8195026626466686E8,2.2076070547066623E8,0.09067659052396507
parvulum,thalian,410051.7941284979,1.1655291731164221E8,247869.37671552575,0.018438830741008053
clementin,lyrata,7492759.834558826,2.2432441085692826E8,3.0188118286143534E7,0.0708665405621711
papaya,sinensis,2877332.5030625155,2.843725728447868E8,4059132.310426129,0.047433985580570506
rubella,thalian,823004.2548261825,1.2405023797712643E8,608846.0457471655,0.016876790859784056
clementin,thalian,1.1062660352185182E7,1.6802450330751598E8,7.804026738496795E7,0.07574865548341128
lyrata,raimondii,3.45052724664869E7,2.907697243768139E8,3.2981050624637234E8,0.08092459183512994
raimondii,vinifera,1.694529411125782E7,5.673905458370159E8,6.3128731325968236E7,0.06039495151867478
clementin,halophilu,5743245.2672543945,2.600829157230873E8,1.3407836553825526E7,0.08469724780665323
cacao,clementin,2332651.312326384,3.054785898680342E8,3930800.2639315207,0.049384083449885534
raimondii,sinensis,2.6607735628523897E7,4.245573925374511E8,1.795987609250977E8,0.043708709369410376
halophilu,rubella,5691386.22852043,1.6743998121197972E8,3.3313753576040477E7,0.04484866029375948
rapa,vinifera,1.8119239728269618E7,2.6024810271604958E8,1.3300302456790087E8,0.08800630215537898
camaldule,rubella,2.76881752043937E7,2.1494478029822487E8,3.547664974035503E8,0.08418280917307815
halophilu,sinensis,6343519.506839323,2.6208638209246594E8,1.5343178815068137E7,0.08816733238111413
halophilu,papaya,4343149.147630898,2.509257588088853E8,8325897.382229385,0.078390937172338
papaya,parvulum,9521556.334043873,1.5979467319081512E8,6.653708661836979E7,0.06756026675358352
camaldule,raimondii,1.4492344624790186E7,6.731613407053739E8,3.622634358925211E7,0.10943765575316546
papaya,vinifera,1.2816453488124982E7,3.4187144771800584E8,5.825765956398843E7,0.06255830311078242
rapa,sinensis,7916396.318975257,2.2589267300714585E8,3.2517606985708065E7,0.06681262400555232
halophilu,lyrata,2819999.0504314005,2.0697189730197638E8,8208557.396047241,0.036961673957721604
camaldule,papaya,1.9740679578842137E7,3.797009313415175E8,1.6723789431696486E8,0.08294190488230307
grandis,rapa,2.3875050921339624E7,2.820155025006027E8,2.5983533899879447E8,0.08696234187557146
grandis,sinensis,1.694119268822349E7,4.033092669841121E8,1.3508766303177562E8,0.09574234619742443
cacao,sinensis,1920121.9338831063,3.0927634400182015E8,2277566.996359528,0.03724665128159228
cacao,camaldule,1.669584475824491E7,4.2265107006075305E8,1.2936359387849396E8,0.10054901926008716
camaldule,thalian,2.8356903277609035E7,2.0005753077794766E8,3.7375196644410473E8,0.08084436403525233
raimondii,rapa,3.430265310004046E7,2.9036726100240356E8,3.3013917099519295E8,0.07771911549952223
halophilu,thalian,6351532.4250550745,1.58319937262317E8,4.076481147536604E7,0.038491261890226475
halophilu,vinifera,1.6023758553198623E7,3.1088548053041065E8,8.694125893917845E7,0.0974658325721769
camaldule,parvulum,2.851150208740227E7,1.93560295237793E8,3.8217984952441394E8,0.08008223845091933
papaya,thalian,9445089.955492377,1.6404413716858786E8,6.26047466628242E7,0.07223472058627023
halophilu,rapa,3018525.74180377,2.0616519668354857E8,9345696.632902844,0.050923155236767756
lyrata,parvulum,3892634.9085168517,1.4090490938646698E8,1.6291551227065977E7,0.018184521480776608
lyrata,papaya,5891209.305595669,2.1736278415180466E8,2.0715118696390714E7,0.06642023330887958
