SEQ1,SEQ2,euclidean,harmonicmean,chisquare,hellinger
APEC01,EDL933,100905.23992340536,2.6581739770581894E7,81056.45883620645,0.014885803208884406
SMS35,W3110,103670.41306949635,2.423767928708676E7,97633.42582646974,0.007829976762749668
ATCC8739,EDL933,201377.68239554254,2.5757357796412576E7,346099.4071748434,0.03908660921523996
F2a2457T,HS,56149.042636540114,2.3243572175824516E7,31862.64835097476,0.01846899290696789
B18BS512,D1Sd197,74067.50340061422,2.2434201863174833E7,57338.27365033509,0.016172933773397454
CFT073,ED1a,42493.56696018822,2.6325087178801384E7,25600.642397242555,0.015303453362175104
DH10B,E234869,70380.58419763223,2.410503751096172E7,47160.97807656374,0.008342622552911459
ATCC8739,SSSs046,136402.26679201485,2.4164157633953527E7,161242.73209295567,0.041004730757112764
DH10B,W3110,12096.094328335903,2.3329786959894586E7,1662.080210817719,0.002956316961520068
APEC01,B4Sb227,157369.04149482516,2.4055006435944777E7,236266.12811045838,0.018059579348190767
B4Sb227,F5b8401,25482.898069097242,2.27313550628498E7,7531.874300403672,0.00805727195454788
BW2952,Sakai,249288.07190076303,2.5113823960185736E7,521652.0796285262,0.01885742796402834
EDL933,F2a2457T,211095.4199953187,2.5212263177436132E7,374742.6451277475,0.016797936842105135
EDL933,W3110,207980.18672219716,2.5174530427598238E7,379438.14480351465,0.014386588538628677
B4Sb227,Sakai,272340.4866375912,2.492003860674401E7,617472.786511985,0.02653480725403601
B18BS512,UMN026,156806.25277073614,2.4440222624463066E7,209296.7510738664,0.018788330855262363
B18BS512,DH10B,59567.62086905939,2.3236111843009427E7,37512.31398113026,0.01937012657884398
536,D1Sd197,153250.54692235196,2.3159314871745653E7,221862.25650869374,0.022688876729825676
ED1a,F5b8401,166637.2510424965,2.442361944097648E7,243944.11804704613,0.01263413530732486
D1Sd197,IAI39,205183.80263558816,2.3645365265745357E7,386075.46850928525,0.023763818064302656
SSSs046,UMN026,104413.69191825371,2.5023560825933825E7,88870.34813235073,0.013446513861355381
E24377A,S88,26481.492669409705,2.5108901401651904E7,6923.196696187161,0.008189008862105104
DH10B,UMN026,127680.3816645298,2.4650426364607822E7,139133.2707843522,0.00676308052175436
